link,title,date,transcript_link,subtitles_link,mp4_links,514_mp4_truncated
https://www.bundestag.de/mediathek?videoid=7616338#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"10. Oktober 2024 
191. Sitzung vom 10.10.2024 10. Oktober 2024",10.10.2024,https://dipbt.bundestag.de/dip21/btp/20/20191.pdf#P.24783,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7616338/7616338.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7616338/7616338_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7616338/7616338_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7616338/7616338_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7616338/7616338_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7615387#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"25. September 2024 
187. Sitzung vom 25.09.2024 25. September 2024",25.09.2024,https://dipbt.bundestag.de/dip21/btp/20/20187.pdf#P.24217,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7615387/7615387.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7615387/7615387_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7615387/7615387_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7615387/7615387_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7615387/7615387_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7615156#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"13. September 2024 
186. Sitzung vom 13.09.2024 13. September 2024",13.09.2024,https://dipbt.bundestag.de/dip21/btp/20/20186.pdf#P.24141,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7615156/7615156.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7615156/7615156_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7615156/7615156_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7615156/7615156_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7615156/7615156_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7613540#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"28. Juni 2024 
179. Sitzung vom 28.06.2024 28. Juni 2024",28.06.2024,https://dipbt.bundestag.de/dip21/btp/20/20179.pdf#P.23219,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7613540/7613540.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7613540/7613540_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7613540/7613540_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7613540/7613540_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7613540/7613540_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7614972#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"12. September 2024 
185. Sitzung vom 12.09.2024 12. September 2024",12.09.2024,https://dipbt.bundestag.de/dip21/btp/20/20185.pdf#P.23965,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7614972/7614972.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7614972/7614972_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7614972/7614972_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7614972/7614972_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7614972/7614972_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7614192#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"5. Juli 2024 
182. Sitzung vom 05.07.2024 5. Juli 2024",05.07.2024,https://dipbt.bundestag.de/dip21/btp/20/20182.pdf#P.23637,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7614192/7614192.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7614192/7614192_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7614192/7614192_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7614192/7614192_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7614192/7614192_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7613249#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"27. Juni 2024 
178. Sitzung vom 27.06.2024 27. Juni 2024",27.06.2024,https://dipbt.bundestag.de/dip21/btp/20/20178.pdf#P.22975,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7613249/7613249.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7613249/7613249_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7613249/7613249_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7613249/7613249_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7613249/7613249_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7614863#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"11. September 2024 
184. Sitzung vom 11.09.2024 11. September 2024",11.09.2024,https://dipbt.bundestag.de/dip21/btp/20/20184.pdf#P.23849,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7614863/7614863.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7614863/7614863_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7614863/7614863_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7614863/7614863_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7614863/7614863_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7613934#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"4. Juli 2024 
181. Sitzung vom 04.07.2024 4. Juli 2024",04.07.2024,https://dipbt.bundestag.de/dip21/btp/20/20181.pdf#P.23419,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7613934/7613934.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7613934/7613934_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7613934/7613934_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7613934/7613934_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7613934/7613934_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7613140#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"26. Juni 2024 
177. Sitzung vom 26.06.2024 26. Juni 2024",26.06.2024,https://dipbt.bundestag.de/dip21/btp/20/20177.pdf#P.22847,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7613140/7613140.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7613140/7613140_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7613140/7613140_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7613140/7613140_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7613140/7613140_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7614764#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"10. September 2024 
183. Sitzung vom 10.09.2024 10. September 2024",10.09.2024,https://dipbt.bundestag.de/dip21/btp/20/20183.pdf#P.23745,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7614764/7614764.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7614764/7614764_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7614764/7614764_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7614764/7614764_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7614764/7614764_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7613663#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"3. Juli 2024 
180. Sitzung vom 03.07.2024 3. Juli 2024",03.07.2024,https://dipbt.bundestag.de/dip21/btp/20/20180.pdf#P.23315,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7613663/7613663.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7613663/7613663_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7613663/7613663_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7613663/7613663_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7613663/7613663_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7612888#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"14. Juni 2024 
176. Sitzung vom 14.06.2024 14. Juni 2024",14.06.2024,https://dipbt.bundestag.de/dip21/btp/20/20176.pdf#P.22743,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7612888/7612888.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7612888/7612888_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7612888/7612888_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7612888/7612888_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7612888/7612888_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7612465#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"13. Juni 2024 
175. Sitzung vom 13.06.2024 13. Juni 2024",13.06.2024,https://dipbt.bundestag.de/dip21/btp/20/20175.pdf#P.22551,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7612465/7612465.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7612465/7612465_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7612465/7612465_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7612465/7612465_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7612465/7612465_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7611790#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"6. Juni 2024 
172. Sitzung vom 06.06.2024 6. Juni 2024",06.06.2024,https://dipbt.bundestag.de/dip21/btp/20/20172.pdf#P.22127,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7611790/7611790.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7611790/7611790_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7611790/7611790_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7611790/7611790_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7611790/7611790_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7610983#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"15. Mai 2024 
168. Sitzung vom 15.05.2024 15. Mai 2024",15.05.2024,https://dipbt.bundestag.de/dip21/btp/20/20168.pdf#P.21575,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7610983/7610983.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7610983/7610983_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7610983/7610983_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7610983/7610983_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7610983/7610983_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7612268#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"12. Juni 2024 
174. Sitzung vom 12.06.2024 12. Juni 2024",12.06.2024,https://dipbt.bundestag.de/dip21/btp/20/20174.pdf#P.22441,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7612268/7612268.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7612268/7612268_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7612268/7612268_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7612268/7612268_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7612268/7612268_h264_512_288_514kb_baseline_de_514.mp4
